Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
47.2039999999,5900,-2.8312934450,-1.0750693426,0.0193303520,,,
47.2079999999,5901,-1.9696840444,-1.1644846648,0.9110520992,,,
47.2119999998,5901,-0.0711791135,-0.3920550266,1.9320150713,,,
47.2159999998,5902,1.7108517886,0.2968542232,2.4041342681,,,
47.2199999997,5902,2.6580724133,0.3520291927,2.0521596943,,,
47.2239999999,5903,3.2550777723,0.3344998410,1.6253607717,,,
47.2279999999,5903,3.8791410911,0.6648228736,1.7355867227,,,
47.2319999998,5904,3.9698014604,0.8262973007,1.9485505735,,,
47.2359999998,5904,3.2146808870,0.4993144115,1.7460864044,,,
47.2400000000,5905,2.3979756606,0.3822168279,1.5097764626,,,
47.2439999999,5905,2.1546043497,0.9936101809,1.6599157751,,,
47.2479999999,5906,1.8464130129,1.5786234433,1.5799604270,,,
47.2519999999,5906,0.6673541532,1.1953038063,0.4472927324,,,
47.2559999998,5907,-0.9548133856,0.1452251772,-1.3846405641,,,
47.2599999998,5907,-2.0791202010,-0.6605026393,-2.8357286273,,,
47.2640000000,5908,-2.6305716868,-1.0669274276,-3.4968900401,,,
47.2679999999,5908,-3.0068197356,-1.3797528980,-3.6300042867,,,
47.2719999999,5909,-3.0082084399,-1.3668787452,-3.2340280547,,,
47.2759999998,5909,-2.3518798088,-0.7320230201,-2.2100649988,,,
47.2799999998,5910,-1.7376015849,-0.1296960769,-1.1930643544,,,
47.2839999998,5910,-2.1087740556,-0.4738814898,-1.0553892763,,,
47.2879999999,5911,-3.0895927688,-1.4535293540,-1.5704998510,,,
47.2919999999,5911,-3.4049518696,-1.9250748217,-1.6299945750,,,
47.2959999999,5912,-2.7399775843,-1.6669199253,-0.8816755790,,,
47.2999999998,5912,-1.9129289485,-1.5152998296,-0.0943101123,,,
47.3039999998,5913,-1.2448624831,-1.7588012836,0.2562646424,,,
47.3079999997,5913,-0.1620562096,-1.7027213520,0.6297831500,,,
