Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
13.3920000000,1674,-1.4661138619,-3.1736364978,0.4572253028,,,
13.3959999999,1674,0.2519925460,-1.4394719223,1.0024503552,,,
13.3999999999,1675,2.2833109667,1.1093371215,2.1134108867,,,
13.4039999999,1675,3.1240337704,2.8054760784,2.7654073189,,,
13.4079999998,1676,2.2938695882,2.7987858588,2.3816973381,,,
13.4119999998,1676,0.8696085634,1.8235250252,1.5995582224,,,
13.4160000000,1677,-0.2333306277,0.7302239070,1.0405341645,,,
13.4199999999,1677,-1.1272327595,-0.4033540709,0.4436820487,,,
13.4239999999,1678,-1.7730903601,-1.3248737800,-0.4026609857,,,
13.4279999998,1678,-1.3989789314,-1.1653606040,-0.9173755435,,,
13.4319999998,1679,0.1647949728,0.2582403754,-0.6869400121,,,
13.4359999998,1679,1.7702660675,1.7806984744,-0.2950533808,,,
13.4399999999,1680,2.4342032478,2.3869288634,-0.3592720374,,,
13.4439999999,1680,2.5011951268,2.4233259768,-0.5319829236,,,
13.4479999999,1681,2.4981812187,2.4980843282,-0.3498494562,,,
13.4519999998,1681,1.9874893986,2.2588528877,-0.2671313705,,,
13.4559999998,1682,0.6365486418,1.3205893557,-0.7983023478,,,
13.4599999997,1682,-0.6112810751,0.4213488139,-1.3334714560,,,
13.4639999999,1683,-0.6982425462,0.3973881961,-0.9432360386,,,
13.4679999999,1683,-0.0488661271,0.7001508784,0.1270266119,,,
13.4719999998,1684,0.2145178124,0.1960157547,0.8825359634,,,
13.4759999998,1684,0.0569839524,-1.0259768289,1.1492483468,,,
13.4800000000,1685,0.2577050288,-1.8827953168,1.5534498426,,,
13.4839999999,1685,0.7975240310,-1.9869903904,2.1073293133,,,
13.4879999999,1686,0.9223551158,-1.8082229971,2.0722025971,,,
13.4919999999,1686,0.6439078335,-1.3492650043,1.3359086113,,,
13.4959999998,1687,0.7452752234,-0.1050228050,0.7082412699,,,
13.4999999998,1687,1.2312403949,1.5608295559,0.5634991257,,,
13.5040000000,1688,1.1783543755,2.4112233451,0.3449568562,,,
13.5079999999,1688,0.3506726651,2.0252059544,-0.2123020616,,,
13.5119999999,1689,-0.4112343715,1.2228664396,-0.5321331606,,,
13.5159999998,1689,-0.7687430713,0.4716614494,-0.3986665130,,,
13.5199999998,1690,-1.4581273165,-0.7727970516,-0.5739287474,,,
13.5239999997,1690,-2.7373234789,-2.5897719620,-1.4960030882,,,
13.5279999999,1691,-3.6150429913,-3.8105739914,-2.3666546146,,,
13.5319999999,1691,-3.3569555289,-3.5158912601,-2.3328858010,,,
13.5359999998,1692,-2.5222812041,-2.1753525301,-1.6596303273,,,
13.5399999998,1692,-1.7155451269,-0.5325721095,-0.9083919197,,,
13.5440000000,1693,-0.5442898107,1.4394636550,0.1142816740,,,
13.5480000000,1693,1.2145681338,3.5427544663,1.5959839206,,,
13.5519999999,1694,2.5356330482,4.4807363466,2.7013478136,,,
